     Gestation 	: lung	costume	roof	fire	made
   Insinuation 	: brian	lisa	made	alec	myself
     Agitation 	: brian	lisa	bitch	good	enough
         Shell 	: lisa	brian	grue	bakuda	think
          Hive 	: bitch	lung	kaiser	dad	our
        Tangle 	: grue	armsmaster	brian	enough	any
          Buzz 	: brian	bitch	grue	coil	dogs
 Extermination 	: leviathan	water	armsmaster	enough	couldn
      Sentinel 	: shadow	stalker	flechette	vista	weld
      Parasite 	: bitch	regent	shadow	grue	stalker
   Infestation 	: lisa	bugs	got	hand	here
        Plague 	: bugs	coil	head	our	any
         Snare 	: grue	bitch	mannequin	bugs	our
          Prey 	: bugs	siberian	amy	grue	power
        Colony 	: coil	bugs	think	any	asked
       Monarch 	: grue	bugs	coil	our	calvert
     Migration 	: krouse	cody	noelle	marissa	jess
         Queen 	: noelle	bugs	asked	miss	militia
       Scourge 	: echidna	bugs	miss	asked	militia
     Chrysalis 	: bugs	school	emma	students	want
         Imago 	: regent	bugs	rachel	think	power
          Cell 	: tagg	miss	militia	prt	asked
         Drone 	: asked	ve	rime	defiant	little
       Crushed 	: behemoth	capes	tecton	bugs	lightning
        Scarab 	: here	tecton	ve	good	our
         Sting 	: jack	bugs	golem	nilbog	here
    Extinction 	: scion	water	little	let	here
   Cockroaches 	: defiant	imp	asked	canary	simurgh
         Venom 	: scion	lung	asked	imp	power
         Speck 	: scion	power	couldn	capes	myself
       Teneral 	: teacher	rachel	imp	dragon	here
