Anhui,16,11284
Beijing,12.5,33712
Chongqing,18,16686
Fujian,21.25,21308
Gansu,9,7884
Guangdong,22,21111
Guangxi,21,10846
Guizhou,16,9482
Hainan,24.5,12649
Hebei,13.5,12282
Heilongjiang,4,11531
Henan,14.5,12143
Hubei,17,15876
Hunan,18,13229
InnerMongolia,2.5,20554
Jiangsu,15.5,27634
Jiangxi,19.25,11523
Jilin,5.5,15364
Liaoning,9.5,14486
Ningxia,9.5,13461
Qinghai,7,12416
Shaanxi,14,14550
Shandong,13.75,19604
Shanghai,16,33245
Shanxi,10.5,10134
Sichuan,16.5,11410
Tianjin,13,32815
Tibet,12.5,10035
Xinjiang,8.75,11569
Yunnan,15.5,8868
Zhejiang,17,24219
