Alabama,"17,1",42124
Alaska,-3,68356
Arizona,"15,7",43709
Arkansas,"15,8",40388
California,"15,2",66310
Colorado,"7,3",58422
Connecticut,"9,4",73643
Delaware,"12,9",73931
Florida,"21,5",44964
Georgia,"17,5",50955
Hawaii,"21,1",58742
Idaho,"6,9",39970
Illinois,11,61837
Indiana,"10,9",51546
Iowa,"8,8",57028
Kansas,"12,4",52715
Kentucky,"13,1",44409
Louisiana,"19,1",50219
Maine,5,44518
Maryland,"12,3",62874
Massachusetts,"8,8",74564
Michigan,"6,9",49076
Minnesota,"5,1",60716
Mississippi,"17,4",36029
Missouri,"12,5",49383
Montana,"5,9",44118
Nebraska,"9,3",60481
Nevada,"9,9",50161
New Hampshire,"6,6",58327
New Jersey,"11,5",64970
New Mexico,"11,9",44832
New York,"7,4",75360
North Carolina,15,51041
North Dakota,"4,7",68723
Ohio,"10,4",53874
Oklahoma,"15,3",46625
Oregon,"9,1",55411
Pennsylvania,"9,3",56625
Rhode Island,"10,1",54365
South Carolina,"16,9",42272
South Dakota,"7,3",55623
Tennessee,"14,2",49430
Texas,"18,2",58028
Utah,"9,2",51243
Vermont,"6,1",49780
Virginia,"12,8",58768
Washington,"9,1",64454
West Virginia,11,40071
Wisconsin,"6,2",53565
Wyoming,"5,6",64659
