 Afghanistan,"12,6",2000
 Albania,"11,4",11800
 Algeria,"22,5",15000
 Andorra,"7,6",37200
 Angola,"21,55",7600
 Antigua and Barbuda,26,24100
 Argentina,"14,8",20200
 Armenia,"7,15",8400
 Australia,"21,65",48800
 Austria,"6,35",47900
 Azerbaijan,"11,95",17700
" Bahamas, The","24,85",24600
 Bahrain,"27,15",50300
 Bangladesh,25,3600
 Barbados,26,17200
 Belarus,"6,15",17500
 Belgium,"9,55",44900
 Belize,"25,3",8600
 Benin,"27,55",2000
 Bhutan,"7,4",8200
 Bolivia,"21,55",6500
 Bosnia and Herzegovina,"9,85",11000
 Botswana,"21,5",16900
 Brazil,"24,95",15200
 Brunei,"26,85",76900
 Bulgaria,"10,55",20100
 Burkina Faso,"28,25",1800
 Burundi,"19,8",800
 Cambodia,"26,8",3500
 Cameroon,"24,6",3200
 Canada,"-5,35",46200
 Cape Verde,"23,3",6700
 Central African Republic,"24,9",700
 Chad,"26,55",2800
 Chile,"8,45",24000
 China,"6,95",15400
 Colombia,"24,5",14200
 Comoros,"25,55",1600
" Congo, Democratic Republic of the",24,800
" Congo, Republic of the","24,55",6800
 Costa Rica,"24,8",16100
 Croatia,"10,9",22400
 Cuba,"25,2",11900
 Cyprus,"18,45",34400
 Czech Republic,"7,55",33200
 Denmark,"7,5",46600
 Djibouti,28,3300
 Dominica,"22,35",11400
 Dominican Republic,"24,55",15900
 Ecuador,"21,85",11000
 Egypt,"22,1",12100
 El Salvador,"24,45",8300
 Equatorial Guinea,"24,55",38700
 Eritrea,"25,5",1200
 Estonia,"5,1",29500
 Ethiopia,"22,2",1700
 Fiji,"24,4",9400
 Finland,"1,7",41800
 France,"10,7",42400
 Gabon,"25,05",19300
 Georgia,"5,8",10100
 Germany,"8,5",48200
 Ghana,"27,2",4300
 Greece,"15,4",26800
 Grenada,"26,65",14100
 Guatemala,"23,45",7900
 Guinea,"25,7",1300
 Guinea-Bissau,"26,75",1500
 Guyana,26,7200
 Haiti,"24,9",1800
 Honduras,"23,5",5000
 Hungary,"9,75",27200
 Iceland,"1,75",48100
 India,"23,65",6200
 Indonesia,"25,85",11700
 Iran,"17,25",18100
 Iraq,"21,4",16500
 Ireland,"9,3",69200
 Israel,"19,2",34800
 Italy,"13,45",36300
 Jamaica,"24,95",9000
 Japan,"11,15",38900
 Jordan,"18,3",11100
 Kazakhstan,"6,4",25700
 Kenya,"24,75",3300
 Kiribati,"28,2",2200
 North Korea,"5,7",1800
 South Korea,"11,5",37900
 Kuwait,"25,35",71900
 Kyrgyzstan,"1,55",3400
 Laos,"22,8",5400
 Latvia,"5,6",25700
 Lebanon,"16,4",18500
 Lesotho,"11,85",3000
 Liberia,"25,3",900
 Libya,"21,8",14200
 Liechtenstein,"5,65",139100
 Lithuania,"6,2",29900
 Luxembourg,"8,65",104000
" Macedonia, Republic of","9,8",14500
 Madagascar,"22,65",1500
 Malawi,"21,9",1200
 Malaysia,"25,4",27200
 Maldives,"27,65",15300
 Mali,"28,25",1800
 Malta,"19,2",37900
 Marshall Islands,"27,4",3400
 Mauritania,"27,65",4500
 Mauritius,"22,4",20500
 Mexico,21,18900
 Moldova,"9,45",5000
 Monaco,"13,55",115700
 Mongolia,"-0,7",12200
 Montenegro,"10,55",17000
 Morocco,"17,1",8300
 Mozambique,"23,8",1300
 Myanmar,"13,05",5200
 Namibia,"19,95",11800
 Nepal,"8,1",2500
 Netherlands,"9,25",50800
 New Zealand,"10,55",37100
 Nicaragua,"24,9",5000
 Niger,"27,15",1100
 Nigeria,"26,8",6400
 Norway,"1,5",69200
 Oman,"25,6",43700
 Pakistan,"20,2",4900
 Palau,"27,6",15300
 Panama,"25,4",22800
 Papua New Guinea,"25,25",2800
 Paraguay,"23,55",9400
 Peru,"19,6",13000
 Philippines,"25,85",7500
 Poland,"7,85",27700
 Portugal,"15,15",28500
 Qatar,"27,15",127700
 Romania,"8,8",22300
 Russia,"-5,1",26100
 Rwanda,"17,85",1800
 Saint Kitts and Nevis,"24,5",25500
 Saint Lucia,"25,5",12000
 Saint Vincent and the Grenadines,"26,8",11300
 Samoa,"26,7",5400
 San Marino,"11,85",65300
 Saudi Arabia,"24,65",54100
 Senegal,"27,85",2500
 Serbia,"10,55",14200
 Seychelles,"27,15",28000
 Sierra Leone,"26,05",1600
 Singapore,"26,45",87900
 Slovakia,"6,8",31200
 Slovenia,"8,9",32000
 Solomon Islands,"25,65",2000
 Somalia,"27,05",400
 South Africa,"17,75",13200
 Spain,"13,3",36500
 Sri Lanka,"26,95",11200
 Sudan,"26,9",4500
 Suriname,"25,7",15200
 Swaziland,"21,4",9800
 Sweden,"2,1",49700
  Switzerland,"5,5",59400
 Syria,"17,75",5100
 Tajikistan,2,2800
 Tanzania,"22,35",3000
 Thailand,"26,3",16800
 Togo,"27,15",1500
 Tonga,"25,25",5100
 Trinidad and Tobago,"25,75",31900
 Tunisia,"19,2",11700
 Turkey,"11,1",21100
 Turkmenistan,"15,1",17300
 Tuvalu,28,3400
 Uganda,"22,8",2100
 Ukraine,"8,3",8000
 United Arab Emirates,27,67700
 United Kingdom,"8,45",42500
 United States,"8,55",57300
 Uruguay,"17,55",21600
 Uzbekistan,"12,05",6100
 Vanuatu,"23,95",2600
 Venezuela,"25,35",15100
 Vietnam,"24,45",6100
 Yemen,"23,85",2800
 Zambia,"21,4",4200
 Zimbabwe,21,2100
